Label,LeftEyebrow,RightEyebrow,LeftLip,RightLip,LipHeight,LipWidth,LeftEyeHeight,LeftEyeWidth,RightEyeHeight,RightEyeWidth,LipsToNose,NoseHeight,NoseWidth,LeftEyeToLeftLip,RightEyeToRightLip
Surprise,5.33357,5.4198,4.216866,4.206707,1.368533,2.26343,1.221367,2.08637,1.325336,1.333333,2.368486,11.01601,5.882707,3.819705,3.886542
Surprise,5.319451,5.473793,4.36714,4.247753,1.603581,2.157333,1.260572,2.12132,1.261886,1.267175,2.603575,10.60223,5.848417,3.910401,4.048441
Surprise,5.67907,5.6059,4.685372,4.508407,1.488696,2.936968,1.118512,2.052011,1.190382,1.259259,2.487808,9.598063,6.045323,3.782235,4.184809
Surprise,5.388663,5.4007,4.931816,4.734976,2.152105,2.782715,1.172224,2.096258,1.238467,1.267983,3.152104,9.113415,6.149014,3.983718,4.485022
Surprise,5.427453,5.286273,5.160058,4.859516,2.541449,2.846464,1.220644,2.082675,1.270736,1.316639,3.541199,8.754391,6.097446,3.96989,4.738723
Surprise,5.239052,5.118382,5.321708,5.054205,2.758606,3.041304,1.213314,2.15102,1.225759,1.318644,3.758324,8.493869,6.097808,3.920622,4.449821
Surprise,5.210861,5.225857,5.007909,4.793333,1.955677,3.018844,1.209995,2.106146,1.218227,1.251241,2.955079,8.767636,6.067455,3.88403,4.310175
Surprise,5.182558,5.395242,4.553447,4.695062,1.512094,3.183599,1.218726,2.487386,1.204839,1.27926,2.511754,11.85765,6.596266,3.868214,3.861828
Surprise,5.183027,5.176761,4.573769,4.969093,1.441177,3.346118,1.180442,2.548091,1.087443,1.205881,2.440519,12.58145,6.692851,3.736758,3.716102
Surprise,5.447114,5.397686,4.585461,4.881029,1.276831,3.444,1.129641,2.437215,1.191308,1.27111,2.276829,12.79329,6.705123,3.769681,3.638897
Surprise,5.975266,5.861722,4.542507,4.776077,1.508416,2.928936,1.208568,2.193621,1.213294,1.248857,2.508001,9.435173,6.519591,3.902278,3.608214
