Label,LeftEyebrow,RightEyebrow,LeftLip,RightLip,LipHeight,LipWidth,LeftEyeHeight,LeftEyeWidth,RightEyeHeight,RightEyeWidth,LipsToNose,NoseHeight,NoseWidth,LeftEyeToLeftLip,RightEyeToRightLip
Surprise,5.233277,5.37836,4.643685,4.614971,1.862686,2.58124,1.303841,2.101313,1.286944,1.340596,2.861748,9.91717,5.994964,4.446176,3.874953
Surprise,5.462362,5.474559,4.551865,4.703547,1.858378,2.536698,1.292058,2.10562,1.263716,1.3164,2.858284,9.613152,6.073429,4.683629,4.078247
Surprise,4.987604,5.082942,4.578886,4.657483,1.698005,2.596024,1.244852,2.263168,1.238151,1.303117,2.697814,9.94381,6.042167,4.713147,4.096078
Surprise,5.602019,5.617269,4.685234,4.518129,1.179372,3.312157,1.1725,2.142758,1.24842,1.243864,2.179053,11.06536,6.764348,3.701234,3.67742
Surprise,5.438384,5.510738,4.478525,4.455777,1.19141,3.06321,1.197601,2.204829,1.267814,1.266073,2.191406,11.1016,6.685675,3.839654,3.622561
Surprise,5.580501,5.525254,4.722678,4.668623,1.433071,3.340356,1.178594,2.197078,1.229538,1.247645,2.432889,11.11817,6.843254,3.820013,3.629377
Surprise,5.532638,5.485879,4.66248,4.65484,1.443191,3.174721,1.153301,2.184088,1.229555,1.249524,2.442942,11.57609,6.723788,3.851653,3.530552
Surprise,5.459826,5.322947,4.984842,5.524494,2.074909,3.050515,1.157785,2.051501,1.089824,1.117647,3.074331,8.204872,6.744584,3.903118,3.428468
Surprise,5.346669,5.215254,5.128383,5.470941,1.76028,3.209653,1.144239,2.081114,1.125575,1.138327,2.759636,8.071193,6.563344,3.79123,3.25485
Surprise,5.700123,5.974146,4.221944,4.070137,1.29657,2.102645,1.211473,2.305528,1.248916,1.353153,2.296139,10.73402,6.144934,4.589795,5.254198
Surprise,5.518874,6.080367,4.163505,3.942783,1.314438,2.208097,1.177762,2.286513,1.225097,1.308131,2.314247,11.40044,6.08773,4.195322,5.137624
Surprise,5.50133,5.762215,4.25773,4.085833,1.324894,2.652578,1.171763,2.255208,1.20185,1.241036,2.324611,11.55882,6.296391,4.011205,4.659422
Surprise,5.60136,5.568007,4.35535,4.136818,1.540789,2.956399,1.131829,2.218801,1.185036,1.266614,2.539317,12.46236,6.332146,3.875468,4.398794
Surprise,6.408367,6.021287,4.670497,4.739758,1.32969,2.85005,1.258173,2.189343,1.245682,1.276328,2.32813,10.41695,5.948444,4.301037,3.798146
Surprise,6.391988,6.074558,4.716098,4.901228,1.344056,2.959675,1.229884,2.239368,1.252039,1.267983,2.342574,9.836741,5.927712,4.261769,3.611018
Surprise,6.553333,6.242881,4.388977,4.694314,1.608241,2.534671,1.342736,2.417157,1.292185,1.364635,2.606908,9.244585,6.05314,4.342762,3.682132
Surprise,6.070886,5.914587,4.411217,4.808978,1.762971,2.46034,1.352066,2.357733,1.277016,1.341641,2.761168,9.102847,5.961229,4.389083,3.75351
Surprise,6.601031,6.225299,4.370551,4.931307,1.608765,2.616534,1.314916,2.418758,1.269568,1.341885,2.603483,8.844174,6.014503,4.353608,3.680109
Surprise,6.12492,6.06194,4.507742,4.704393,1.568412,2.60213,1.32969,2.351163,1.28025,1.369931,2.568365,9.872476,5.983871,4.094734,4.326895
Surprise,6.075432,6.135114,4.568208,4.560344,1.344738,2.638046,1.307652,2.313014,1.253784,1.356748,2.344479,9.886416,5.938591,3.877,4.360703
Surprise,5.241308,5.225576,5.537598,5.50102,1.946923,3.86808,1.166726,2.150145,1.21561,1.249713,2.946853,10.86684,6.994977,3.660764,3.25883
Surprise,5.631789,5.548809,5.382867,5.612476,1.864287,3.860792,1.208568,2.219275,1.198991,1.249713,2.863853,10.78336,6.805346,3.695376,3.391759
Surprise,6.151767,5.957158,4.58916,5.087552,1.900256,2.746771,1.277347,2.311794,1.226421,1.317168,2.900254,8.658297,6.048756,4.508114,4.082765
Surprise,6.033699,5.826047,4.713831,5.266763,2.149276,2.756436,1.189752,2.210972,1.239325,1.309163,3.149002,8.265881,5.968375,4.780437,4.089598
Surprise,6.332445,6.125052,4.558209,4.968709,1.832997,2.915095,1.234586,2.17572,1.22892,1.330163,2.832985,8.551989,6.00131,4.428439,3.998176
Surprise,5.391778,5.369687,4.3775,4.336498,1.594041,2.370253,1.155032,2.218867,1.202004,1.262941,2.592743,8.760977,5.845887,3.651768,3.968685
Surprise,5.45393,5.482476,4.310154,4.365112,1.509279,2.436571,1.227502,2.166881,1.164143,1.214811,2.508742,8.665253,5.812016,3.612326,3.961072
Surprise,5.134182,5.047975,4.987271,4.898424,1.977903,2.867442,1.241585,2.237139,1.31647,1.402047,2.977861,11.2289,6.514469,3.832045,3.757782
Surprise,4.947794,4.915256,5.235566,5.207953,2.519359,2.672801,1.241585,2.234281,1.332828,1.394779,3.518683,10.91686,6.318258,4.214368,4.092191
Surprise,4.929284,4.942923,5.349032,5.326047,2.99937,2.674077,1.23046,2.229121,1.341343,1.420141,3.999055,10.1731,6.169442,4.412694,4.203489
Surprise,5.785622,5.900519,4.663434,4.700974,1.433962,2.811321,1.227144,2.30887,1.159423,1.231819,2.433962,9.093699,6.353868,3.705061,3.848561
Surprise,5.70795,5.80676,4.598487,4.863715,1.55666,2.901955,1.158858,2.177982,1.219442,1.311352,2.556453,9.162001,6.519972,3.845601,3.789148
Surprise,5.422961,5.253717,5.40436,5.297595,2.315137,3.393562,1.169533,2.099576,1.233287,1.264067,3.315059,11.83442,6.601051,4.103702,3.963466
Surprise,5.19125,5.054103,5.753857,5.735957,3.054504,3.582059,1.22461,2.115783,1.267075,1.314044,4.053992,11.03315,6.510015,4.297049,4.042618
Surprise,5.469812,5.584109,5.152636,5.232998,1.998032,3.457091,1.219341,2.216789,1.248917,1.271415,2.996063,10.22739,6.286202,3.567076,3.640318
Surprise,5.427156,5.469937,5.040884,5.094717,1.649674,3.449013,1.189828,2.197219,1.200526,1.266549,2.649644,10.69256,6.33798,3.503855,3.563382
Surprise,5.400829,5.403635,4.313334,4.331285,1.168919,2.772111,1.165645,2.205673,1.203517,1.250567,2.168887,9.856294,5.989964,3.606863,3.547136
Surprise,5.356006,5.368469,4.249762,4.404264,1.260804,2.690387,1.15135,2.273223,1.189129,1.215008,2.260473,9.774983,5.997167,3.758698,3.402276
Surprise,5.384305,5.214993,4.659255,4.607602,1.473737,2.655541,1.15646,2.189195,1.182989,1.229006,2.473329,10.68327,6.293531,3.89265,4.068982
Surprise,5.370514,5.164197,4.618807,4.624442,1.357983,2.644606,1.197342,2.187682,1.163899,1.238346,2.357849,10.11384,6.174366,3.937168,4.030611
Surprise,5.527431,5.142529,4.121383,4.499253,1.461395,2.390446,1.262895,2.570038,1.194957,1.287326,2.461384,10.48124,6.318943,3.880289,3.855121
Surprise,5.075983,4.836751,4.34952,4.666953,1.700131,2.401602,1.187151,2.382144,1.242893,1.331312,2.700127,10.33226,6.336931,4.093744,3.931627
Surprise,5.854986,5.503038,6.20737,5.890874,2.462717,4.653461,1.181766,2.195253,1.185393,1.269659,3.459186,13.19381,7.50972,3.485182,3.705254
Surprise,5.832655,5.518333,6.290158,6.00307,2.65275,4.644065,1.258811,2.257818,1.187957,1.290154,3.648959,12.31947,7.555212,3.378885,3.965307
Surprise,5.43551,5.425386,4.091659,4.049393,1.186562,2.220598,1.263286,2.125675,1.312681,1.32052,2.186506,11.64906,5.802116,3.711666,3.769256
Surprise,4.940037,4.853423,6.405296,6.584543,4.272727,4.364583,1.297212,2.248371,1.178511,1.333333,5.272727,10.96001,6.99715,3.884434,3.804237
Surprise,5.735345,5.761358,4.992543,5.667688,2.077797,4.23532,1.180298,2.091032,1.227262,1.167989,3.077168,10.97109,6.988832,3.405426,3.204999
Surprise,5.5908,5.599609,4.763629,5.020789,1.5017,3.357143,1.245682,2.173508,1.245682,1.291885,2.50102,11.04516,6.599226,3.833879,3.167853
Surprise,5.057891,4.977623,5.499536,5.081256,2.564894,3.13568,1.117263,1.994821,1.218726,1.333946,3.563065,9.398933,6.202143,3.727463,4.00082
Surprise,5.01473,4.963358,5.278582,5.270047,2.428571,3.071429,1.180298,2.008602,1.246534,1.303841,3.428571,9.549757,6.281393,3.832077,4.066658
Surprise,5.235103,5.284645,5.10909,4.844666,2.395608,2.927592,1.359021,2.325546,1.411081,1.398482,3.39247,10.0691,6.267041,4.031434,4.104753
Surprise,5.677289,5.943763,5.429533,5.606024,3.158487,3.158487,1.282174,2.205847,1.352804,1.406597,4.158405,10.61174,6.855231,4.424036,3.900357
Surprise,5.399039,5.585449,5.514806,5.221969,3.178772,2.789375,1.303389,2.376849,1.32579,1.416731,4.178724,8.938025,6.123265,3.982945,4.158157
Surprise,5.159237,5.207447,5.957942,6.112956,3.562117,4.085178,1.259412,2.535608,1.204892,1.31059,4.560908,10.69808,7.159894,3.748662,3.762982
Surprise,5.47016,5.231648,4.653957,4.914403,2.12433,2.838856,1.192601,2.325679,1.219341,1.352845,3.123906,9.475922,6.228075,4.071715,4.147215
Surprise,5.543569,5.560215,5.955755,6.142632,3.438068,3.750521,1.33132,2.290159,1.301265,1.361262,4.43794,9.738773,7.11677,3.789154,4.03518
Surprise,6.170917,5.417747,5.784574,6.185612,3.157895,3.580495,1.223071,2.24156,1.293548,1.443661,4.157895,8.463172,6.152753,4.693535,3.499228
Surprise,5.603694,5.354089,4.733557,5.227813,2.685202,2.725973,1.218227,2.573753,1.140175,1.257916,3.685021,9.437537,6.268922,4.056245,3.468049
Surprise,5.605762,5.480157,6.289234,6.253186,4.353339,3.235829,1.380209,2.488889,1.325216,1.454545,5.353264,9.419394,6.638869,4.265111,4.449882
Surprise,5.165771,5.114092,5.845352,5.833722,3.708841,3.371461,1.34364,2.785388,1.319536,1.414214,4.70161,9.891078,6.766133,4.247979,3.964104
Surprise,6.177029,6.137722,5.505686,5.641996,3.13966,3.04417,1.296263,2.32411,1.293392,1.293392,4.138168,9.548876,6.166365,5.273622,4.019241
Surprise,5.529536,5.743528,5.356753,5.253167,2.714966,2.480695,1.315022,2.383182,1.244791,1.29737,3.714957,8.938893,6.098092,4.011096,4.966386
Surprise,5.545064,5.230353,5.962418,6.036312,3.553979,3.5056,1.179454,2.275473,1.18531,1.228114,4.55395,9.286322,6.62398,4.037536,3.503975
Surprise,5.090624,4.860683,5.495115,5.524682,3.118666,2.515617,1.176435,2.347765,1.126055,1.29769,4.115819,6.970522,5.611261,4.483016,4.137694
Surprise,5.262852,5.107035,6.02443,5.630197,3.599705,2.848214,1.325765,2.328287,1.359021,1.5017,4.595494,8.477746,5.94781,4.167242,4.632479
Surprise,5.797818,5.206824,5.806454,6.258787,3.612478,3.19752,1.167262,2.35,1.342736,1.419403,4.609772,9.52662,6.647451,4.692182,4.538328
Surprise,5.58281,5.580999,5.468405,5.08617,2.795722,2.874758,1.335724,2.026556,1.326184,1.418581,3.794925,9.436931,6.141971,3.963369,4.370053
Surprise,5.667441,5.485634,5.597349,5.640735,2.907778,3.289744,1.337016,2.223168,1.225169,1.360262,3.90667,9.159367,6.550285,3.929838,3.928281
Surprise,5.81342,5.765959,5.845214,5.94714,2.582936,4.119767,1.226526,2.208558,1.251822,1.378832,3.581041,10.17141,7.002196,3.43189,3.08116
Surprise,5.902688,5.469893,5.249756,5.812932,2.468925,3.22946,1.329189,2.18857,1.261125,1.322286,3.468556,8.339809,6.327576,4.455584,3.080946
